id	date	marked_as_ads	is_favorite	post_type	comments	likes	views	reposts
245	1655358478	0	False	post	4	7	309	3
243	1655281046	0	False	post	0	10	392	2
234	1654996334	0	False	post	7	19	805	25
233	1654905600	0	False	post	0	9	448	0
228	1654822944	0	False	post	3	14	611	6
227	1654644189	0	False	post	0	12	390	1
226	1654601400	0	False	post	0	10	470	1
224	1654495986	0	False	post	0	9	339	1
223	1654072453	0	False	post	0	7	534	4
222	1653973202	0	False	post	0	26	769	3
220	1653897600	0	False	post	0	26	754	3
219	1653876000	0	False	post	0	25	750	9
216	1653789600	0	False	post	2	24	784	8
214	1653782400	0	False	post	1	30	890	10
213	1653703200	0	False	post	0	25	851	11
212	1653616800	0	False	post	0	15	676	3
210	1653552002	0	False	post	1	15	761	7
208	1653542135	0	False	post	0	11	538	2
207	1653524367	0	False	post	0	5	544	8
206	1653519246	0	False	post	0	11	559	3
202	1653444000	0	False	post	0	23	684	5
201	1653436800	0	False	post	0	7	715	4
191	1653357600	0	False	post	7	20	819	6
188	1653350400	0	False	post	0	18	594	3
165	1653271200	0	False	post	6	20	778	2
164	1653187837	0	False	post	0	13	639	2
162	1653184800	0	False	post	15	18	760	3
161	1653098400	0	False	post	1	19	745	5
159	1653012000	0	False	post	0	27	812	5
158	1652925600	0	False	post	0	21	798	6
157	1652839200	0	False	post	0	22	912	12
156	1652779241	0	False	post	0	19	774	9
142	1652753827	0	False	post	0	1	503	0
140	1652679699	0	False	post	0	4	487	3
138	1652437854	0	False	post	0	11	731	21
135	1652403050	0	False	post	0	8	729	15
134	1652232215	0	False	post	1	23	1148	28
133	1652137200	0	False	post	0	7	527	3
126	1651888800	0	False	post	4	21	996	5
108	1651655357	0	False	post	16	38	2244	52
107	1651111200	0	False	post	0	17	1198	3
105	1651033148	0	False	post	0	15	846	10
102	1650591137	0	False	post	0	7	621	6
97	1650356236	0	False	post	4	18	787	1
96	1650274200	0	False	post	0	10	915	2
93	1649763362	0	False	post	0	2	532	0
91	1649249034	0	False	post	1	16	938	7
90	1648984500	0	False	post	0	4	730	5
85	1648617911	0	False	post	2	21	944	4
83	1648105202	0	False	post	2	38	2303	41
81	1647945662	0	False	post	0	6	982	12
80	1647766801	0	False	post	0	8	733	1
79	1647756001	0	False	post	0	8	694	9
74	1647744498	0	False	post	1	7	820	12
73	1647326147	0	False	post	0	5	757	11
72	1645851601	0	False	post	0	21	1003	6
70	1645671857	0	False	post	0	2	612	1
69	1645671741	0	False	post	0	1	683	1
66	1645344001	0	False	post	1	25	1190	5
64	1645176600	0	False	post	0	15	939	4
63	1645174349	0	False	post	0	1	611	1
60	1644471411	0	False	post	0	3	561	1
59	1644054863	0	False	post	0	5	733	5
58	1643788802	0	False	post	1	20	1403	28
55	1643410714	0	False	post	0	21	1689	33
54	1643369793	0	False	post	0	2	610	0
52	1643277441	0	False	post	0	2	544	1
51	1643087942	0	False	post	0	4	684	3
50	1641022571	0	False	post	0	5	782	2
49	1640952001	0	False	post	0	21	781	2
47	1640217600	0	False	post	0	14	892	16
45	1639992600	0	False	post	0	19	881	12
44	1639987201	0	False	post	0	6	643	5
41	1639814401	0	False	post	0	3	605	2
39	1639709229	0	False	post	0	2	395	1
38	1639709088	0	False	post	0	2	532	1
37	1639566224	0	False	post	0	3	748	10
36	1639562354	0	False	post	0	6	406	2
34	1639026002	0	False	post	0	38	1074	31
33	1639020547	0	False	post	0	4	614	4
31	1638878100	0	False	post	0	5	645	5
29	1638775065	0	False	post	0	3	571	1
28	1638752760	0	False	post	0	6	740	17
27	1637831717	0	False	post	0	13	1152	18
25	1637720847	0	False	post	0	17	890	16
24	1637717448	0	False	post	0	8	769	5
22	1637665507	0	False	post	0	8	687	6
21	1637317539	0	False	post	0	2	741	17
20	1637030002	0	False	post	0	10	984	20
17	1636681685	0	False	post	1	7	1240	27
16	1636538966	0	False	post	0	2	880	12
12	1635914479	0	False	post	2	28	1969	138
9	1634541174	0	False	post	0	4	1207	2
8	1634449145	0	False	post	0	4	1003	3
7	1634438921	0	False	post	0	35	1580	38
5	1631059200	0	False	post	0	20	2102	7
4	1631058300	0	False	post	0	17	1461	6
